,keyword,page,position,id,type,name,brand,averageRating,manufacturerName,shortDescription,thumbnailUrl,price,currencyUnit
0,iphone,1,1,6DAQRT9DNA1X,Cell Phones,"Straight Talk Apple iPhone SE (2022-3rd Gen) 5G, 64GB, Midnight- Prepaid Smartphone [Locked to Straight Talk]",Apple,4.3,,"<p>Now through 11/26/2023, save $100 on a new iPhone SE when you purchase and activate on Straight Talk at your local Walmart store. You'll get an amazing discount on a top smartphone and great coverage on the network America relies on, all with no contracts or mystery fees ever. This limited time only offer must be redeemed in-store, so visit a Walmart store to get your iPhone SE for only $49 today! </p><p>Serious power meets serious value with the iPhone SE in Midnight from Straight Talk. A lightning-fast A15 Bionic chip, 4GB RAM and fast 5G<sup>1</sup> connectivity make this the most powerful 4.7-inch<sup>2 </sup>iPhone ever. Enjoy up to 15 hours<sup>3</sup> of video playback on a Retina HD display made from the toughest glass available in a smartphone. Go big with stellar battery life and a superstar camera system featuring a 12MP Wide camera, Smart HDR 4, Photographic Styles, Portrait mode, and 4K video up to 60 fps. Share the moment with friends and family in stunning detail on the 7MP FaceTime HD camera with 1080p video recording. This iPhone is built for life-on-the-go with a durable, IP67 water resistant<sup>4</sup> design and a Home button with secure Touch ID. You'll love the power and the possibilities of iOS 15, which packs new features to do more with iPhone than ever before<sup>5</sup>. Pair it with a no-contract unlimited talk, text & data plan from Straight Talk to keep you connected for less on America's most reliable 5G† Network. Find the Apple iPhone SE (3rd Generation) in Midnight and Straight Talk plans online or in-store at your local Walmart.</p>",https://i5.walmartimages.com/seo/Straight-Talk-Apple-iPhone-SE-2022-3rd-Gen-5G-64GB-Midnight-Prepaid-Smartphone-Locked-to-Straight-Talk_6fd9f42d-4626-45df-a12b-dbab00d822a6.43acfd2e2ac81a6a7da00bf320b045a9.jpeg,149.0,USD
1,iphone,4,41,6WE25ZE5A3G9,Cell Phones,Restored Apple iPhone 8 64GB Factory Unlocked Smartphone (Refurbished),Apple,3.1,,"This iPhone 8 has been determined fully functional by our industry leading functionality inspection. It will show signs of wear like scratches, scuffs, and minor nicks on the screen or body. This item will NOT come in its original packaging but will include a certified cable and UL approved power adapter. Headsets, SIM card and manual are NOT included. This iPhone 8 is fully functional with all carrier networks. It does not come with a SIM card, you will need to get one from your carrier of choice.",https://i5.walmartimages.com/seo/Restored-Apple-iPhone-8-64GB-Factory-Unlocked-Smartphone-Refurbished_6653d1e1-0e42-48cf-813c-85cc69be6be6.8ea439cf01b3c16f6f4c796489605723.png,104.49,USD
2,iphone,3,41,4XV673KA64Y0,Cell Phones,Restored iPhone XS Max 256GB Gray (Unlocked) (Refurbished),iPhone,4.3,,"This iPhone has been fully tested and has been reset to factory settings by a certified technician. Phone is in good working order with minimal to no scratches, scuffs, dings or blemishes present. Comes with compatible USB cable and compatible wall adapter. No SIM card is included. This phone is Unlocked for use with GSM and CDMA carriers.",https://i5.walmartimages.com/seo/Restored-iPhone-XS-Max-256GB-Gray-Unlocked-Refurbished_f8773ff9-90a7-40d0-b2b1-eb818845e4c5_1.430e428b3cd47988efbce2b83555ce2a.jpeg,262.0,USD
3,iphone,3,40,6A2ZOGJQHEKO,Cell Phones,Used (Good Condition) Apple iPhone 11 Pro 64GB Factory Unlocked 4G LTE Smartphone,Apple,,,Used (Good Condition) Apple iPhone 11 Pro 64GB Factory Unlocked 4G LTE Smartphone,https://i5.walmartimages.com/seo/Used-Good-Condition-Apple-iPhone-11-Pro-64GB-Factory-Unlocked-4G-LTE-Smartphone_5155d568-6e65-47f3-b5fb-f83e02e1fb69_1.be289c37f2a1b67e5d018967664bf426.jpeg,298.97,USD
4,iphone,3,39,48Y46F4KKKVA,Cell Phones,Apple iPhone X 64GB Unlocked GSM Phone w/ Dual 12MP Camera - Space Gray - B Grade Used,Apple,3.3,,"Key features 5.8-inch Super Retina HD display with HDR&nbsp;and True Tone1All-glass and stainless steel design,&nbsp;water and dust resistant312MP dual cameras with dual OIS, Portrait mode,&nbsp;Portrait Lighting, and 4K video up to 60 fps47MP TrueDepth front camera with Portrait&nbsp;mode, Portrait Lighting4Face ID for secure authentication and Apple PayA11 Bionic, the most powerful and smartest chip&nbsp;in a smartphoneWireless chargingâworks with Qi chargers2 Legal 1The iPhone X display has rounded corners. When measured as a rectangle, the screen is 5.85 inches diagonally. Actual viewable area is less. 2Charging mat sold separately. 3iPhone X is splash, water, and dust resistant and was tested under controlled laboratory conditions with a rating of IP67 under IEC standard 60529. Splash, water, and dust resistance are not permanent conditions and resistance might decrease as a result of normal wear. Do not attempt to charge a wet iPhone; refer to the user guide for cleaning and drying instructions. Liquid damage not covered under warranty. 4Portrait Lighting available in beta. Technical specifications Go to www.apple.com/iphone-x/specs for a complete set.&nbsp;",https://i5.walmartimages.com/seo/Apple-iPhone-X-64GB-Unlocked-GSM-Phone-w-Dual-12MP-Camera-Space-Gray-B-Grade-Used_15c2b968-bb85-41a4-9292-b017f78fe797.a66ebbf32b6d53b6d6eb14c47434ac04.jpeg,180.0,USD
5,iphone,3,38,6ZB6VU2M7QSG,Cell Phones,Restored Apple iPhone 12 - Carrier Unlocked - 128GB Green (Refurbished),Apple,3.5,,"The Apple iPhone 12 features several new features and updates to push the device to new heights. 5G speed. A14 Bionic, the fastest chip ever in a smartphone. An edge-to-edge OLED display. Ceramic Shield with four times better drop performance. And Night mode on every camera. iPhone 12 has it all. Smartphones are in Excellent Cosmetic Condition, have passed full 65-point item inspection and are 100% Fully Functional. Device will be shipped in generic packaging and will include a Brand New Non OEM MFi certified power cable. Fully Functional with every GSM / CDMA Network Carrier such as Verizon, T-Mobile, AT&T, Metro, Boost, Cricket Wireless etc. Device may show some light scuffs or light scratches due to handling.",https://i5.walmartimages.com/seo/Restored-Apple-iPhone-12-Carrier-Unlocked-128GB-Green-Refurbished_95baeedc-8e41-4c4d-8883-3f9c2222b922.2ca8882f8efedf9e3ad3e920f64c5f65.jpeg,329.22,USD
6,iphone,3,37,2Z2ID7T67CZ4,Cell Phones,Restored Apple iPhone 12 Pro Max 128GB Pacific Blue (Unlocked) (Refurbished),Apple,3.3,,"This phone has been fully tested and has been reset to factory settings by a certified technician. Phone is in good working order with minimal to no scratches, scuffs, dings or blemishes present. Comes with compatible USB cable and compatible wall adapter. No SIM card is included.",https://i5.walmartimages.com/seo/Restored-Apple-iPhone-12-Pro-Max-128GB-Pacific-Blue-Unlocked-Refurbished_0130a839-2f5e-44b3-85c9-d2e286a6f08a.7f60e6e6689898f4e7b0b57ac806dcfa.jpeg,494.0,USD
7,iphone,3,36,2XMAURZ8WN3K,Cell Phones,"Apple iPhone 13 Pro Max 256GB 6.7"" 5G Fully Unlocked, Sierra Blue (Refurbished: Good)",Apple,,,"iPhone 13 Pro Max. The biggest Pro camera system upgrade ever. Super Retina XDR display with ProMotion for a faster, more responsive feel. Lightning-fast A15 Bionic chip. Superfast 5G. Durable design and the best battery life ever in an iPhone.",https://i5.walmartimages.com/seo/Apple-iPhone-13-Pro-Max-256GB-6-7-5G-Fully-Unlocked-Sierra-Blue-Refurbished-Good_8131dec9-3279-474f-aff4-17d9f3c518ca.3c0d0b6d3146c5d4af4da1108c7368e4.jpeg,718.98,USD
8,iphone,3,35,7L62KQV4JJ2E,Cell Phones,Restored Apple iPhone 12 Pro 256GB Fully Unlocked Pacific Blue (Refurbished),Apple,4.1,,"This Apple iPhone 12 Pro has been professionally Refurbished to working order by an approved vendor. It is in Perfect Working Condition with a 9/10 Cosmetic Rating. Fully Unlocked compatible with all carriers. All iPhone 12 Pro models have a haptic-touch capable 6.1"" (diagonal) ""Super Retina XDR"" display (2532 x 1170, 460 PPI, 800 Nits max brightness) that occupies nearly the entire front of the device. It has four cameras. On the front tucked in the ""notch"" is a ""True Depth"" camera that in addition to supporting ""Advanced Face ID"" identification functionality, takes 12-megapixel photos, shoots 4K video, and has software support for Portrait mode, Portrait Lighting, and more. The rear packs a 4K video-capable ""pro-12-megapixel camera system"" with three cameras Ultra-Wide (f/2.4 aperture, 120-degree field of view), Wide (f/1.6 aperture), and Telephoto (f/2.0 aperture). Apple notes that the iPhone 12 Pro provides ""computational photography"" features that improve low-light performance and reduce noise compared to earlier iPhone models. The iPhone 12 Pro uses a partially ""surgical grade"" stainless steel case with flat polished stainless-steel sides and has a glass front and back. The front has a ""Ceramic Shield"" cover for improved durability and the back has an integrated ""MagSafe"" magnetic charging connection. It is splash, water, and dust-resistant to the IP68 standard (maximum depth of 6 meters up to 30 minutes). Internally, the iPhone 12 Pro is powered by a 64-bit 3.0 GHz ""Apple A14 Bionic"" processor with six cores two performance cores and four high-efficiency cores and a 16-core Neural Engine. It has 6 GB of RAM and 256 GB of flash storage. It also supports 802.11ax Wi-Fi 6 with 2x2 MIMO, 5G wireless, Bluetooth 5.0, Ultra-Wideband ""for spatial awareness,"" NFC for Apple Pay, ""Express Cards with power reserve"" for compatible transit systems, a LiDAR scanner, and dual SIMs (one hardware nano-SIM and one software-based eSIM).",https://i5.walmartimages.com/seo/Restored-Apple-iPhone-12-Pro-256GB-Fully-Unlocked-Pacific-Blue-Refurbished_8f36d634-93a0-45e0-bc2f-b22c25d6bdea.41e133fb08bc11ebb6927f4b7d3319e3.jpeg,429.95,USD
9,iphone,3,34,182A4ZKXTZDK,Cell Phones,"Walmart Family Mobile Apple iPhone 13, 128GB, Midnight- Prepaid Smartphone [Locked to Walmart Family Mobile]",Apple,4.6,,"<p>The Affordable Connectivity Program (ACP) makes it easier to get wireless service that meets your needs, so you can stay connected to work, school, and healthcare providers on your favorite devices.</p><p>iPhone 13. Your new superpower. The iPhone 13 on Walmart Family Mobile is an all-out standout featuring the most advanced dual-camera system ever on iPhone and lightning-fast performance with the all-new A15 bionic chip. Shoot incredible low-light photos and videos with the new 12MP Wide & Ultra Wide cameras and make movie magic with Cinematic mode. With 128GB of storage space, you'll be able to download and store your favorite apps, games, music and more! Plus, the 6.1-inch Super Retina screen boasts an XDR display that's even brighter, so it's easier to see in full sunlight. ² Add in durability, power and speed with Ceramic Shield, a leap in battery life with up to 19 hours of video playback,³ and 5G capability for superfast downloads and high-quality streaming¹. Pair it with a no-contract unlimited talk, text & data plan from Walmart Family Mobile with non- stop coverage on a 5G network. Find the Apple iPhone 13 and Walmart Family Mobile plans online or in-store at your local Walmart.</p>",https://i5.walmartimages.com/seo/Walmart-Family-Mobile-Apple-iPhone-13-128GB-Midnight-Prepaid-Smartphone-Locked-to-Walmart-Family-Mobile_1c1e8882-6647-4f95-b6da-39183898618c.0b325bb079e2cd662542f5c50717c54a.jpeg,629.0,USD
